W_PROV,SEQ_NO,FSIZE,URB,RFACT,TOINC,WAGES,RPCINC,CASH_ABROAD,CASH_DOMESTIC,TOTEX,PERCAPITA,FOOD,CLOTH,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION
10,26110,4.0,1,720.798156738,541500.0,95200,8,330000,42000,429325.0,135375.0,122508.0,7050,34550,3300,21330,1000,16800
10,26111,3.5,1,720.798156738,399890.0,109200,7,0,0,362103.0,114254.289063,70545.0,4330,54750,10150,15850,555,10360
10,26112,6.0,1,720.798156738,414244.0,389524,4,0,0,378962.0,69040.664063,101709.0,5580,530,39280,18280,1680,107300
10,26113,6.0,1,720.798156738,848250.0,742200,8,0,0,442036.0,141375.0,194274.0,29100,1776,9840,22200,11700,0
10,26114,6.0,1,720.798156738,872735.0,273528,8,240000,150000,698598.0,145455.828125,172856.0,33450,53200,45780,25200,5680,114000
10,26115,10.0,2,552.746887207,706650.0,573000,4,14000,6000,509036.0,70665.0,174794.0,2650,4910,14440,8740,21000,8550
10,26116,3.0,2,552.746887207,275900.0,212000,6,0,1000,198746.0,91966.664063,48032.0,880,5390,11915,5580,26050,2600
10,26117,1.0,2,552.746887207,84235.0,0,5,0,2500,50037.0,84235.0,21070.0,350,107,720,200,0,0
10,26118,2.5,2,552.746887207,276731.0,172000,7,0,0,242974.0,110692.398438,52531.0,1290,2695,11960,11400,930,5200
10,26119,4.5,2,552.746887207,269565.0,178920,3,0,10000,193668.0,59903.332031,68562.0,4050,1912,20580,5800,18300,13000
10,26120,4.0,2,552.746887207,156780.0,86400,1,0,0,113727.0,39195.0,57221.0,2250,1730,5240,1900,100,5200
10,26121,3.0,2,552.746887207,161463.0,141000,3,0,4700,122289.0,53821.0,41841.0,1540,610,14050,1900,100,6500
10,26122,4.0,2,552.746887207,124850.0,107700,1,0,4700,112111.0,31212.5,56349.0,1520,395,2080,780,100,5850
10,26123,5.0,2,552.746887207,196100.0,90000,1,0,0,132611.0,39220.0,67111.0,1105,1607,1200,1120,7950,2600
10,26124,5.5,2,552.746887207,196615.0,72100,1,0,96200,161439.0,35748.183594,97498.0,3270,1760,1280,2760,200,13000
10,26125,4.0,2,552.746887207,120147.0,104400,1,0,4700,122407.0,30036.75,52062.0,1110,7440,9730,12150,2940,650
10,26126,2.0,2,552.746887207,181458.0,144808,6,0,12000,140816.0,90729.0,53291.0,1150,2904,5720,1120,1660,7800
10,26127,5.5,2,552.746887207,170775.0,121000,1,0,11900,126059.0,31050.0,52959.0,1910,1780,6120,4550,21000,5200
10,26128,4.0,2,552.746887207,201110.0,46000,2,50000,19000,185211.0,50277.5,73841.0,1660,1024,4900,12550,0,0
10,26129,3.0,2,552.746887207,111780.0,55000,1,0,44200,89247.0,37260.0,42099.0,2900,1590,4920,1340,7950,5200
10,26130,1.0,2,552.746887207,239785.0,0,10,60000,61000,207738.0,239785.0,65830.0,850,8510,5640,14860,0,0
10,26131,5.0,2,552.746887207,244270.0,180700,2,0,8400,183222.0,48854.0,99580.0,2299,1842,3620,1900,1700,8200
10,26132,5.0,2,552.746887207,578360.0,529300,7,0,0,393461.0,115672.0,155711.0,3880,3810,22600,18994,200,13000
10,26133,3.0,2,555.783874512,187025.0,144400,3,5000,3000,170409.0,62341.667969,44320.0,3180,1230,15375,21600,0,0
10,26134,4.0,2,555.783874512,186790.0,174000,2,0,0,136038.0,46697.5,53676.0,1650,155,7620,8340,660,5450
10,26135,3.0,2,555.783874512,202870.0,140320,4,40000,6000,160075.0,67623.335938,60295.0,3060,256,17650,11500,720,11000
10,26136,1.0,2,555.783874512,106355.0,48000,6,40000,0,89865.0,106355.0,21170.0,1160,68,18600,14000,0,0
10,26137,2.0,2,555.783874512,248514.0,0,7,45000,60000,194317.0,124257.0,49825.0,1110,22500,8000,11920,0,0
10,26138,5.5,2,555.783874512,320159.0,264976,3,20000,0,252072.0,58210.726562,71253.0,2470,385,19300,2250,680,3500
10,26139,3.5,2,555.783874512,198190.0,91800,3,80000,0,311259.0,56625.714844,54949.0,3899,585,12500,20924,430,8400
10,26140,3.0,2,555.783874512,133515.0,66500,2,20000,29400,101156.0,44505.0,43056.0,2040,55,3500,900,145,7800
10,26141,4.0,2,555.783874512,128120.0,82700,1,0,32000,111662.0,32030.0,66090.0,1920,810,5000,900,0,0
10,26142,3.0,2,555.783874512,114435.0,86400,1,0,9400,99271.0,38145.0,39897.0,1670,60,15400,1200,90,200
10,26143,4.0,2,555.783874512,149900.0,115200,1,4000,9250,122444.0,37475.0,45503.0,2450,4200,6140,900,950,6400
